Number of Posts,Followers,Following,Label
0,103,131,0
0,23,116,0
0,39,350,0
2,136,279,0
2,72,59,0
0,41,29,0
0,89,149,0
6,33,236,0
0,23,135,0
0,34,63,0
0,205,314,0
0,104,369,0
33,871,537,0
0,1458,1241,0
0,213,220,0
1,234,308,0
0,242,378,0
0,16,16,0
2,87,766,0
3,107,105,0
13,31,47,0
102,576,34,0
20,94,353,0
0,69,164,0
0,4,70,0
0,159,396,0
5,641,419,0
2,118,499,0
2,257,389,0
0,733,152,0
0,239,124,0
30,567,681,0
3,100,204,0
3,75,181,0
0,5,41,1
0,172,230,0
14,258,387,0
1,66,140,0
46,284,988,0
1,264,319,0
0,349,318,0
