Number of Posts,Followers,Following,Label,follower_following_ratio
0.172944056,-0.32886427,-0.372019414,0,-0.224990002
-0.369323525,-0.000445094,0.023473945,0,-0.206946891
-0.165973182,-0.359414891,-0.448075829,0,-0.205395217
-0.328653456,2.577263555,-0.487625165,0,2.241419206
-0.328653456,-0.454885581,-0.880076268,0,0.269057702
0.118717298,-0.706928205,-0.703625384,0,-0.389867191
-0.409993593,-0.760391791,-0.624526713,1,-0.480871222
-0.409993593,2.416872795,-0.639737996,0,2.918820015
-0.409993593,-0.87495662,-0.819231136,1,-0.583638726
-0.409993593,0.030105527,-0.919625604,0,1.55795493
-0.409993593,-0.706928205,0.446347613,1,-0.560657308
0.457634536,1.614918993,2.594180778,0,-0.258615389
2.884281959,1.240673885,-0.563681581,0,1.366859108
-0.409993593,-0.733659998,1.535475479,1,-0.593199502
-0.138859803,-0.103553439,-0.980470736,0,1.901302581
1.135469011,-0.050089853,-0.487625165,0,0.074750334
-0.301540077,-0.221937096,-0.417653263,0,-0.120241536
-0.409993593,-0.775667102,-0.977428479,0,-0.235122843
-0.409993593,-0.886413103,-0.703625384,1,-0.608887488
-0.409993593,-0.073002818,-0.076920523,0,-0.204756996
-0.409993593,-0.886413103,-0.947005913,1,-0.586958046
5.866753652,3.153906527,0.002178148,0,1.299949205
0.267840882,1.500354164,2.518124363,1,-0.268116321
0.308510951,0.014830217,2.48465954,1,-0.489130001
4.199280842,1.958613479,0.069107794,0,0.657475025
0.308510951,-0.695471722,-0.861822728,0,-0.239581987
14.93617894,0.270691668,0.595418187,0,-0.259297866
1.189695769,1.626375476,0.126910669,0,0.456958898
-0.409993593,-0.901688414,-1.126499053,1,-0.627527513
1.948870382,2.726197833,0.881390308,0,0.351840033
-0.301540077,-0.221937096,-0.621484456,0,0.073976524
-0.382880214,0.572379051,0.726235221,0,-0.196755926
0.145830677,-0.832949516,-0.889203037,0,-0.484834906
-0.342210146,-0.790942412,-0.350723618,1,-0.551767107
-0.247313319,-0.260125372,-0.560639324,0,-0.033340861
-0.409993593,-0.798580068,-1.026104585,0,-0.184161198
